Pfam	Header
PF00037	P03942|reviewed|Ferredoxin|taxID:300852
PF00037	P06252|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4097
PF00037	P08811|reviewed|Ferredoxin 1|taxID:316
PF00037	P0A123|reviewed|Ferredoxin 1|taxID:303
PF00037	P0AAK7|reviewed|Protein NrfC|taxID:83333
PF00037	P0CY91|reviewed|Ferredoxin-2|taxID:1061
PF00037	P0DW32|reviewed|Arsenate respiratory reductase iron-sulfur subunit ArrB (Fragment)|taxID:309797
PF00037	P13279|reviewed|Ferredoxin|taxID:1911
PF00037	P24496|reviewed|Ferredoxin|taxID:1836
PF00037	P65529|reviewed|Probable ferredoxin/ferredoxin--NADP reductase|taxID:233413
PF00037	P80448|reviewed|Ferredoxin-2|taxID:1085
PF00037	P9WJI1|reviewed|Probable ferredoxin/ferredoxin--NADP reductase|taxID:83332
PF00037	P9WNE7|reviewed|Ferredoxin|taxID:83332
PF00037	Q04W38|reviewed|NADH-quinone oxidoreductase subunit I|taxID:355277
PF00037	Q04XD4|reviewed|NADH-quinone oxidoreductase subunit I|taxID:355276
PF00037	Q06GK9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:398741
PF00037	Q06GU2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:224735
PF00037	Q06R76|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:126431
PF00037	Q09FQ6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41776
PF00037	Q09FZ2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4403
PF00037	Q1D8T0|reviewed|NADH-quinone oxidoreductase subunit I|taxID:246197
PF00037	Q2IL01|reviewed|NADH-quinone oxidoreductase subunit I 1|taxID:290397
PF00037	Q2MI46|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4081
PF00037	Q2MID3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:147425
PF00037	Q2QD37|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:3659
PF00037	Q2VEC7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4113
PF00037	Q332S3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4236
PF00037	Q33BW8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4098
PF00037	Q39QB5|reviewed|NADH-quinone oxidoreductase subunit I 2|taxID:269799
PF00037	Q3C1Q0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4096
PF00037	Q45560|reviewed|Ferredoxin 7Fe|taxID:1484
PF00037	Q49KU4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:71271
PF00037	Q60316|reviewed|F420-dependent formate dehydrogenase subunit beta|taxID:243232
PF00037	Q72VZ9|reviewed|NADH-quinone oxidoreductase subunit I|taxID:267671
PF00037	Q74GA0|reviewed|NADH-quinone oxidoreductase subunit I 1|taxID:243231
PF00037	Q7FNR7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:33113
PF00037	Q7I7Y4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183104
PF00037	Q7YJT0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:212734
PF00037	Q82DT3|reviewed|NADH-quinone oxidoreductase subunit I 2|taxID:227882
PF00037	Q8F9N0|reviewed|NADH-quinone oxidoreductase subunit I|taxID:189518
PF00037	Q8HVI9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217847
PF00037	Q8HVJ0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183098
PF00037	Q8HVJ1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183102
PF00037	Q8HVJ2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149409
PF00037	Q8HVJ3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183091
PF00037	Q8HVJ4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176589
PF00037	Q8HVJ5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:144192
PF00037	Q8HVJ6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217846
PF00037	Q8HVJ7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41659
PF00037	Q8HVJ8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176586
PF00037	Q8HVJ9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183095
PF00037	Q8HVK0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183093
PF00037	Q8HVK2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53737
PF00037	Q8HVK3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183089
PF00037	Q8HVK4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183087
PF00037	Q8HVK5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:13708
PF00037	Q8HVK6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183085
PF00037	Q8HVK7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:55670
PF00037	Q8HVK9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:121904
PF00037	Q8HVL0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183081
PF00037	Q8HVL1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183067
PF00037	Q8HVL2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183077
PF00037	Q8HVL3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53588
PF00037	Q8HVL4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183076
PF00037	Q8HVL5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183074
PF00037	Q8HVL6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:52299
PF00037	Q8HVL7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:121890
PF00037	Q8HVL8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183072
PF00037	Q8HVL9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183302
PF00037	Q8HVM0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53728
PF00037	Q8HVM2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41626
PF00037	Q8HVM3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176575
PF00037	Q8HVM4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:128726
PF00037	Q8HVM5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183070
PF00037	Q8HVM6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:121888
PF00037	Q8HVM7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183068
PF00037	Q8HVM8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:109582
PF00037	Q8HVM9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176567
PF00037	Q8HVN2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217845
PF00037	Q8HVN3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176559
PF00037	Q8HVN4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183063
PF00037	Q8HVN5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41620
PF00037	Q8HVN6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183050
PF00037	Q8HVN7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176555
PF00037	Q8HVN8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183060
PF00037	Q8HVN9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183058
PF00037	Q8HVP0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183056
PF00037	Q8HVP1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:167004
PF00037	Q8HVP2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149448
PF00037	Q8HVP3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183054
PF00037	Q8HVP4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183052
PF00037	Q8HVP5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183047
PF00037	Q8HVP6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183048
PF00037	Q8HVP7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41604
PF00037	Q8HVP8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149445
PF00037	Q8HVP9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:2596874
PF00037	Q8HVQ0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176551
PF00037	Q8HVQ1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53719
PF00037	Q8HVQ2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:102792
PF00037	Q8HVQ3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149447
PF00037	Q8HVQ4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149443
PF00037	Q8HVQ5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183039
PF00037	Q8HVQ6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149437
PF00037	Q8HVQ7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183037
PF00037	Q8HVQ8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41592
PF00037	Q8HVQ9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183035
PF00037	Q8HVR0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:119176
PF00037	Q8HVR1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:166980
PF00037	Q8HVR2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:185166
PF00037	Q8HVR3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:128718
PF00037	Q8HVR4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176542
PF00037	Q8HVR5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4252
PF00037	Q8HVR6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217844
PF00037	Q8HVR7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4232
PF00037	Q8HVR8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:128739
PF00037	Q8HVR9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176604
PF00037	Q8HVS0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183032
PF00037	Q8HVS1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183030
PF00037	Q8HVS2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176537
PF00037	Q8HVS3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183106
PF00037	Q8HVS4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41578
PF00037	Q8HVS5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176532
PF00037	Q8HVS6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183013
PF00037	Q8HVS7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149424
PF00037	Q8HVS8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149418
PF00037	Q8HVS9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:149426
PF00037	Q8HVT1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53580
PF00037	Q8HVT2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183026
PF00037	Q8HVT4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:169611
PF00037	Q8HVT5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183024
PF00037	Q8HVT6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:121910
PF00037	Q8HVT7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183306
PF00037	Q8HVT8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176528
PF00037	Q8HVT9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217841
PF00037	Q8HVU0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183020
PF00037	Q8HVU1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183018
PF00037	Q8HVU2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41563
PF00037	Q8HVU3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183016
PF00037	Q8HVU5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183011
PF00037	Q8HVU6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176600
PF00037	Q8HVU7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176524
PF00037	Q8HVU8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:169567
PF00037	Q8HVU9|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:176522
PF00037	Q8HVV0|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:53717
PF00037	Q8HVV1|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183009
PF00037	Q8HVV2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41494
PF00037	Q8HVV3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183007
PF00037	Q8HVV4|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:41490
PF00037	Q8HVV5|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183107
PF00037	Q8HVV6|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4247
PF00037	Q8HVV7|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:183005
PF00037	Q8HVV8|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:4214
PF00037	Q8HVW2|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:217838
PF00037	Q8HVW3|reviewed|NAD(P)H-quinone oxidoreductase subunit I, chloroplastic|taxID:185140
PF00037	Q8LPJ4|reviewed|ABC transporter E family member 2|taxID:3702
PF00037	Q8PVV3|reviewed|Dihydromethanopterin reductase (acceptor)|taxID:192952
PF00037	Q8Q0T0|reviewed|Ferredoxin:CoB-CoM heterodisulfide reductase subunit A|taxID:192952
PF00037	Q9F2V8|reviewed|NADH-quinone oxidoreductase subunit I 2|taxID:100226
PF00037	A9FH21|reviewed|Ferredoxin Fdx2|taxID:448385
PF00037	A9G317|reviewed|Ferredoxin Fdx8|taxID:448385
PF00037	P00193|reviewed|Ferredoxin|taxID:1258
PF00037	P00204|reviewed|Ferredoxin-1|taxID:1092
PF00037	P00205|reviewed|Ferredoxin|taxID:115852
PF00037	P00206|reviewed|Ferredoxin-2|taxID:1092
PF00037	P03941|reviewed|Ferredoxin|taxID:1388
PF00037	P0A122|reviewed|Ferredoxin 1|taxID:160488
PF00037	P0A3D4|reviewed|Ferredoxin-like protein in nif region|taxID:240292
PF00037	P0A3D5|reviewed|Ferredoxin-like protein in nif region|taxID:1164
PF00037	P0AAK8|reviewed|Protein NrfC|taxID:83334
PF00037	P0AAK9|reviewed|Protein NrfC|taxID:623
PF00037	P0CY90|reviewed|Ferredoxin-1|taxID:1061
PF00037	P12415|reviewed|Ferredoxin-like protein in nif region|taxID:103690
PF00037	P14073|reviewed|Ferredoxin|taxID:1487
PF00037	P23481|reviewed|Hydrogenase-4 component A|taxID:83333
PF00037	P27394|reviewed|Ferredoxin-like protein in nif region|taxID:224911
PF00037	P42711|reviewed|Ferredoxin-like protein in nif region|taxID:386
PF00037	P44101|reviewed|Uncharacterized protein HI_1043|taxID:71421
PF00037	P44746|reviewed|Uncharacterized ferredoxin-like protein HI_0527|taxID:71421
PF00037	P60232|reviewed|Polyferredoxin protein MvhB|taxID:79929
PF00037	P64123|reviewed|Ferredoxin|taxID:233413
PF00037	P82853|reviewed|Probable ferredoxin TA0517|taxID:273075
PF00037	P9WJI0|reviewed|Probable ferredoxin/ferredoxin--NADP reductase|taxID:83331
PF00037	P9WNE6|reviewed|Ferredoxin|taxID:83331
PF00037	Q00388|reviewed|Polyferredoxin protein VhuB|taxID:2188
PF00037	Q1RH11|reviewed|Ferredoxin|taxID:336407
PF00037	Q44037|reviewed|Ferredoxin-1 (Fragment)|taxID:1035
PF00037	Q45972|reviewed|Ferredoxin-1|taxID:190650
PF00037	Q49180|reviewed|Polyferredoxin protein MvhB|taxID:2180
PF00037	Q4UJX3|reviewed|Ferredoxin|taxID:315456
PF00037	Q50784|reviewed|Polyferredoxin protein MvhB|taxID:187420
PF00037	Q50849|reviewed|Polyferredoxin protein VhcB|taxID:2188
PF00037	Q57699|reviewed|Uncharacterized ferredoxin MJ0251|taxID:243232
PF00037	Q57712|reviewed|Uncharacterized protein MJ0264|taxID:243232
PF00037	Q57934|reviewed|Uncharacterized polyferredoxin-like protein MJ0514|taxID:243232
PF00037	Q57953|reviewed|Uncharacterized ferredoxin MJ0533|taxID:243232
PF00037	Q57998|reviewed|Uncharacterized protein MJ0578|taxID:243232
PF00037	Q58041|reviewed|Uncharacterized ferredoxin MJ0624|taxID:243232
PF00037	Q58129|reviewed|Uncharacterized ABC transporter ATP-binding protein MJ0719|taxID:243232
PF00037	Q58136|reviewed|Uncharacterized protein MJ0726|taxID:243232
PF00037	Q58344|reviewed|Uncharacterized polyferredoxin-like protein MJ0934|taxID:243232
PF00037	Q58565|reviewed|Ferredoxin-type protein FwdE|taxID:243232
PF00037	Q58566|reviewed|Polyferredoxin protein FwdF|taxID:243232
PF00037	Q58699|reviewed|Uncharacterized polyferredoxin-like protein MJ1303|taxID:243232
PF00037	Q58744|reviewed|Uncharacterized protein MJ1349|taxID:243232
PF00037	Q68Y04|reviewed|Ferredoxin|taxID:257363
PF00037	Q8KBP9|reviewed|Ferredoxin-3|taxID:194439
PF00037	Q8KCZ6|reviewed|Ferredoxin-1|taxID:194439
PF00037	Q8KCZ7|reviewed|Ferredoxin-2|taxID:194439
PF00037	Q8TQQ5|reviewed|Ferredoxin|taxID:188937
PF00037	Q9HY07|reviewed|Ferredoxin 1|taxID:208964
PF00037	Q9LID6|reviewed|ABC transporter E family member 1|taxID:3702
PF00037	Q9ZCC8|reviewed|Ferredoxin|taxID:272947
PF00037	O27719|reviewed|Uncharacterized protein MTH_1684|taxID:187420
PF00037	P20925|reviewed|Frd operon probable iron-sulfur subunit A (Fragment)|taxID:585
PF00037	P81293|reviewed|Uncharacterized polyferredoxin-like protein MJ0514.2|taxID:243232
PF00042	A0A072ULZ1|reviewed|Anaerobic nitrite reductase Glb1-2|taxID:3880
PF00042	A2XE45|reviewed|Anaerobic nitrite reductase NSHB2|taxID:39946
PF00042	A2XE98|reviewed|Anaerobic nitrite reductase NSHB1|taxID:39946
PF00042	A2XE99|reviewed|Anaerobic nitrite reductase NSHB3|taxID:39946
PF00042	A2XEA0|reviewed|Anaerobic nitrite reductase NSHB4|taxID:39946
PF00042	B3EWR7|reviewed|Hemoglobin cathodic subunit alpha|taxID:1234705
PF00042	C0HJQ9|reviewed|Myoglobin|taxID:10137
PF00042	C0HJR0|reviewed|Myoglobin|taxID:9870
PF00042	E2RTZ4|reviewed|Flavohemoprotein|taxID:184922
PF00042	G1NJB6|reviewed|Myoglobin|taxID:9103
PF00042	G7KGT0|reviewed|Leghemoglobin 8|taxID:3880
PF00042	I1LJI1|reviewed|Anaerobic nitrite reductase Hb1|taxID:3847
PF00042	O04985|reviewed|Anaerobic nitrite reductase NSHB2|taxID:39947
PF00042	O04986|reviewed|Anaerobic nitrite reductase NSHB1|taxID:39947
PF00042	O09232|reviewed|Hemoglobin subunit beta|taxID:8056
PF00042	O13078|reviewed|Hemoglobin subunit beta|taxID:8058
PF00042	O13163|reviewed|Hemoglobin subunit beta|taxID:30991
PF00042	O13164|reviewed|Hemoglobin subunit beta|taxID:58220
PF00042	O24520|reviewed|Anaerobic nitrite reductase AHB1|taxID:3702
PF00042	O42425|reviewed|Hemoglobin subunit alpha-2|taxID:8049
PF00042	O93348|reviewed|Hemoglobin subunit beta-1|taxID:8213
PF00042	O93351|reviewed|Hemoglobin subunit beta|taxID:36196
PF00042	P01942|reviewed|Hemoglobin subunit alpha|taxID:10090
PF00042	P01946|reviewed|Hemoglobin subunit alpha-1/2|taxID:10116
PF00042	P01948|reviewed|Hemoglobin subunit alpha-1/2|taxID:9986
PF00042	P01958|reviewed|Hemoglobin subunit alpha|taxID:9796
PF00042	P01959|reviewed|Hemoglobin subunit alpha|taxID:9793
PF00042	P01960|reviewed|Hemoglobin subunit alpha|taxID:9791
PF00042	P01961|reviewed|Hemoglobin subunit alpha-1/2|taxID:73334
PF00042	P01966|reviewed|Hemoglobin subunit alpha|taxID:9913
PF00042	P01971|reviewed|Hemoglobin subunit alpha|taxID:9853
PF00042	P01972|reviewed|Hemoglobin subunit alpha-1/2|taxID:9875
PF00042	P01994|reviewed|Hemoglobin subunit alpha-A|taxID:9031
PF00042	P02008|reviewed|Hemoglobin subunit zeta|taxID:9606
PF00042	P02016|reviewed|Hemoglobin subunit alpha|taxID:7962
PF00042	P02017|reviewed|Hemoglobin subunit alpha|taxID:7970
PF00042	P02024|reviewed|Hemoglobin subunit beta|taxID:9595
PF00042	P02025|reviewed|Hemoglobin subunit beta|taxID:9580
PF00042	P02036|reviewed|Hemoglobin subunit beta|taxID:9521
PF00042	P02042|reviewed|Hemoglobin subunit delta|taxID:9606
PF00042	P02050|reviewed|Hemoglobin subunit beta-1/2|taxID:9463
PF00042	P02053|reviewed|Hemoglobin subunit beta|taxID:40322
PF00042	P02057|reviewed|Hemoglobin subunit beta-1/2|taxID:9986
PF00042	P02066|reviewed|Hemoglobin subunit beta|taxID:9807
PF00042	P02067|reviewed|Hemoglobin subunit beta|taxID:9823
PF00042	P02070|reviewed|Hemoglobin subunit beta|taxID:9913
PF00042	P02072|reviewed|Hemoglobin subunit beta|taxID:30521
PF00042	P02074|reviewed|Hemoglobin subunit beta-3|taxID:9875
PF00042	P02075|reviewed|Hemoglobin subunit beta|taxID:9940
PF00042	P02077|reviewed|Hemoglobin subunit beta-A|taxID:9925
PF00042	P02078|reviewed|Hemoglobin subunit beta-C|taxID:9925
PF00042	P02086|reviewed|Hemoglobin subunit beta|taxID:9814
PF00042	P02087|reviewed|Hemoglobin subunit beta|taxID:9361
PF00042	P02088|reviewed|Hemoglobin subunit beta-1|taxID:10090
PF00042	P02089|reviewed|Hemoglobin subunit beta-2|taxID:10090
PF00042	P02091|reviewed|Hemoglobin subunit beta-1|taxID:10116
PF00042	P02094|reviewed|Hemoglobin subunit beta|taxID:10036
